lon,lat,altitude,time,time_mjd,time_tdb
334.661793414173246,-37.474624327645103,6000,1900-01-01,15020,1900-01-01 00:00:32.184
334.661793414173246,-37.474624327645103,6000,1950-01-01,33282,1950-01-01 00:00:32.184
334.661793414173246,-37.474624327645103,6000,1990-01-01,47892,1990-01-01 00:00:57.184
334.661793414173246,-37.474624327645103,6000,2000-01-01,51544,2000-01-01 00:01:04.184
334.661793414173246,-37.474624327645103,6000,2010-01-01,55197,2010-01-01 00:01:06.184
334.661793414173246,-37.474624327645103,6000,2020-01-01,58849,2020-01-01 00:01:07.184
334.661793414173246,-37.474624327645103,10000,1900-01-01,15020,1900-01-01 00:00:32.184
334.661793414173246,-37.474624327645103,10000,1950-01-01,33282,1950-01-01 00:00:32.184
334.661793414173246,-37.474624327645103,10000,1990-01-01,47892,1990-01-01 00:00:57.184
334.661793414173246,-37.474624327645103,10000,2000-01-01,51544,2000-01-01 00:01:04.184
334.661793414173246,-37.474624327645103,10000,2010-01-01,55197,2010-01-01 00:01:06.184
334.661793414173246,-37.474624327645103,10000,2020-01-01,58849,2020-01-01 00:01:07.184
113.895199649442930,-24.267502562084083,6000,1900-01-01,15020,1900-01-01 00:00:32.184
113.895199649442930,-24.267502562084083,6000,1950-01-01,33282,1950-01-01 00:00:32.184
113.895199649442930,-24.267502562084083,6000,1990-01-01,47892,1990-01-01 00:00:57.184
113.895199649442930,-24.267502562084083,6000,2000-01-01,51544,2000-01-01 00:01:04.184
113.895199649442930,-24.267502562084083,6000,2010-01-01,55197,2010-01-01 00:01:06.184
113.895199649442930,-24.267502562084083,6000,2020-01-01,58849,2020-01-01 00:01:07.184
113.895199649442930,-24.267502562084083,10000,1900-01-01,15020,1900-01-01 00:00:32.184
113.895199649442930,-24.267502562084083,10000,1950-01-01,33282,1950-01-01 00:00:32.184
113.895199649442930,-24.267502562084083,10000,1990-01-01,47892,1990-01-01 00:00:57.184
113.895199649442930,-24.267502562084083,10000,2000-01-01,51544,2000-01-01 00:01:04.184
113.895199649442930,-24.267502562084083,10000,2010-01-01,55197,2010-01-01 00:01:06.184
113.895199649442930,-24.267502562084083,10000,2020-01-01,58849,2020-01-01 00:01:07.184
66.210772203754004,14.714324392325588,6000,1900-01-01,15020,1900-01-01 00:00:32.184
66.210772203754004,14.714324392325588,6000,1950-01-01,33282,1950-01-01 00:00:32.184
66.210772203754004,14.714324392325588,6000,1990-01-01,47892,1990-01-01 00:00:57.184
