            lon             lat
--------------- ---------------
 322.7467997526   24.1660837358
 122.2946268500   47.2537903357
  53.2309665756   57.4391846146
 318.3197651616   82.8132077302
 222.5725704334   35.8048622426
 216.2624899573   -1.3447619491
 359.9200694918  -29.5436176136
 233.3382601973  -16.9616391194
 269.5953892921  -15.5190753486
 250.3358152056   43.5598961779
 269.0576759816  -29.8161220936
 314.0953224791   50.7198609494
 359.4150395673    8.8758091280
 357.5092041670   64.3790135668
 107.2578677949    8.9778429679
 170.9391048515  -76.2506867795
 286.1510072615   23.8998059548
 308.0752932040   11.8224905783
 345.9811834001    0.4502004781
 260.6633874887   -9.5514521645
 239.9499399542   23.0570738671
 261.9067304666   29.9848321072
 166.8917260456   -1.0103869959
 108.8822365609  -30.9659823113
 180.3838262647   45.4907843444
 264.5566215493   23.6324665066
  11.2357933124  -28.4663449178
 240.4351851960  -26.6003104663
 284.1454120758   -6.0459279155
  62.2722142138    6.5734042472
  17.9777293455  -16.9424869894
 282.7145721689   29.2676601400
 323.6219461619   -1.7985297277
 342.2722944963   47.1124200720
 141.6610664906  -53.0286542103
 194.3556665005    9.4488632867
 227.2262895239   27.0802972297
  12.3393749577   18.7056855206
 317.9511606374    5.6232640200
 262.8188629476    0.0821361039
 284.5330646177   40.5370926315
 205.4047471739   44.6060866968
 306.2821289276  -62.0549579722
  24.0296505812   32.6882677929
  84.3242285783  -46.0409295491
  94.9499987652   58.9001252640
 187.8496461901   39.3816811570
 152.0469660523  -26.6417411241
 254.4381113447  -20.3866999803
  51.3442886795   55.0843028315
 190.6745200469   -3.8556889893
 290.8342486882   74.9877069245
 277.5458468703  -26.2511142877
 337.8985350382  -14.6340656825
 232.2726219650   29.2454080807
  19.4198043232   68.2330178087
 183.9284651626   17.8341799838
 155.1223067649   51.2088938028
  80.6263708260  -70.6641447490
 324.6379001869    3.0649270647
 160.1619663440   53.1167314469
 102.7751645003  -44.2956470280
 206.6351105104    0.2377097224
  71.7375953118  -15.5159543438
  46.0036578914    6.0237879674
 241.8665636834  -39.7836952257
 278.2228094124   49.4028138843
 214.5800412441   15.5524515994
 309.7400778127   56.3222101786
 227.3544812366  -11.9825390571
 338.6999402624  -48.7248202801
 160.4396784834  -35.1438452943
 137.3565599421   42.8958048075
 260.3033344407   22.8485725779
 189.5002494224   17.7172074934
  81.4916265785    7.3925094407
  88.7220530881  -27.9651140700
 285.1039569688   -8.5324723561
 160.7011145542  -34.6174922583
 347.0575921643  -42.9365568759
 352.1118322563  -29.8302900010
 202.2422711232   20.8077320863
  90.9717452807   22.5825597055
 264.5985784903   45.5155503240
 140.5896678460   33.8977286674
 163.0398446097  -33.1207230438
  82.4306029225   -3.0183291357
 125.5826083704    2.6063329309
 180.1938342703  -74.0181797765
 110.0582758632   -5.7627261450
 278.0654114806  -34.9433997599
 281.2280929345   -8.6411263494
 305.6996131230   -4.7485032820
 294.7932628400   60.2649313957
  17.4230003510   50.8123204634
 338.1621296639  -31.3024584453
 109.7678644041  -37.0315982781
 293.3423818728   11.5305824846
 324.6084775667  -10.8045671443
   7.5377773376   20.9497087606
  79.1951493681  -43.1004092314
 112.5388521466   50.7903256089
 239.7574425753   34.7679779382
  19.8021270930   32.7046692605
  59.9528584258  -22.6026435817
 172.9366099809  -28.0372027686
 245.5591436713  -26.3761548882
 303.6966862560    8.9975690433
 232.7711859878  -10.5112022770
 217.7260904585   16.2624594414
 236.7103066132  -74.5043926721
  92.2223364112   76.3388005719
 341.3614435881  -44.7093685798
 153.6337708782   -9.6410594781
  14.6884457070  -15.0856097482
 355.3729977122  -24.8442499333
 243.0649962213   23.8418795647
 179.5833981053  -12.7266117817
 239.0043532560  -41.4518972234
 156.3895878579  -37.6750774708
 325.4194396659   15.5767641631
 181.8533588400  -10.0340733594
  18.6731172726   22.8783447817
 170.6237230942  -56.2368967905
 222.2207933627   -5.5094230002
 358.1282360811  -41.7122847062
 156.2324157099   22.9764779226
  96.9094859777   45.9700923255
   2.4665465759   58.9870938123
 185.3321852036   23.6326272632
 207.8756068128   57.6714972872
  17.2465577337  -12.9313493439
 250.6735681205   -5.8187881935
 259.2554264196    2.3961894302
 258.9793864892  -56.3847594491
 169.9501614629   47.0727968350
  22.4585942279  -33.4270392599
 341.9240528790  -39.4437410618
 288.1817634046  -42.4307446371
  44.5750803359   54.8057694553
 116.0983408255   30.3313817211
 221.7150688080   -2.0899271780
 110.7009951171  -48.8196985581
 340.9439468503   76.9054639616
  57.4489482074   38.9486183774
 292.6642198606   46.9110605953
 101.8872602055  -13.7747923623
 210.6831258008   -5.9893599199
 151.8826406532  -23.1526736430
 136.3838112401  -24.4590275813
 353.0235189445  -63.2805215273
 223.7936101948  -72.7735089896
  97.9566106238  -22.4759078651
  27.6321345163   -6.5728944360
  72.9165851523    0.1721227141
 344.2821814539  -25.7719585213
 314.7628194523  -33.5034484321
   8.2660501850  -46.6385275273
  15.8507348040   10.9693968081
 231.6915864762   43.8274128901
 233.2469364041   63.8116093777
  41.8443845869  -52.0371746003
 127.8471823056  -14.1389772545
 172.8071291264   50.3240424368
 232.7456329006   33.9040860077
 229.7479929304  -51.8464247887
 316.7397863719  -53.4741232652
  72.4904079856  -80.8807531825
 150.3390657780   23.3209874043
 281.8861128273   24.4620298962
 311.3210002763   22.4436972577
 100.4241711184   74.1231203339
 341.1903843831   30.1952552026
 314.2397506185  -33.3855904669
 265.4294560706   30.3561025937
 115.4085308206  -35.1058222633
 313.7897952052    5.5821276730
 319.3360753697  -30.1410095224
 333.2021783228   21.7840037175
 348.3997937970   24.9600311493
 326.7014826351   56.0517966230
 113.1621104181   11.3968322771
   3.9973875525  -13.2036988359
  55.2145043777    2.8551328591
  65.8430419815  -16.9128954349
 273.8609069817  -39.9831727576
  39.8219024687  -29.9198707944
 247.6801203201  -49.9446637633
 146.4134777380  -40.8618005453
  52.1688690442  -59.8684538671
 276.0275640687   31.5921967336
 282.0188194519   22.7694551051
  42.7906675594   43.7699792554
  32.4733217857  -42.6189815498
 275.9469660536  -48.6330633415
  82.5086865569  -17.9387847428
  91.5070957593  -55.2786374819
 184.7076594972   41.5218415496
  89.9552626108   63.0730120328
 193.1633791905  -30.7338612835
